sk_regiao,nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,vl_latitude,vl_longitude
K!=M&RYA<&<[-@:BT0D$P#,ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR,59,04880230,RECANTO CAMPO BELO,SAO PAULO,SP,"-23,5505199","-46,6333094"
N@I;6_F_.M4$5<>.\Z(!N$,RUA DO CRUZEIRO,495,45604620,JOAO SOARES,ITABUNA,BA,"-14,7809311","-39,2636"
"J/\5(;48G]Z\4B11UV'=B(",RUA VITOR DE QUEIROZ MATOS,105,03263010,PARQUE SAO LUCAS,SAO PAULO,SP,"-23,5907593","-46,5486725"
"HJ>7!'CK^,=^`:'5*QD[#$",RUA ANTONIO GALDINO MARCA,167,36660000,VILA CAXIAS,ALEM PARAIBA,MG,"-21,8833835","-42,6985095"
"E$^:?2Z>""\)IJBO;>RPH_)",RUA PORTAO DA PIEDADE,155,40070045,BARRIS,SALVADOR,BA,"-12,9830488","-38,5136913"
"BH/CF\;S$T""/OK(!\CNXY*",AVENIDA CANDIDO PORTINARI,970,05114001,VILA JAGUARA,SAO PAULO,SP,"-23,5072955","-46,7555407"
"F?XGJK;/RC2'OO>MY`]YE$",RUA 24 DE MAIO,574,83323060,VILA TARUMA,PINHAIS,PR,"-25,4387247","-49,1949172"
"NI;PATE.9[2$-PU0'2I_/-",RUA DESEMBARGADOR JAIME,141,75020040,SETOR CENTRAL,ANAPOLIS,GO,"-16,3273047","-48,9533426"
"G/^!YR*N*N7`(D3)9-E"">(",RUA VAIL JUSTINIANO TOLEDO,113,19700000,JARDIM MURILO MACEDO,PARAGUACU PAULISTA,SP,"-22,432076","-50,5803154"
"H'RQ%#1+,>)--4I3X<12J&",RUA PARAENSE,SN,77930000,CENTRO,AXIXA DO TOCANTINS,TO,"-5,6149591","-47,7708204"
"N4U``""?[LM*2K$:2""7C'.*",AVENIDA ESTADO,623,75074590,RECANTO DO SOL,ANAPOLIS,GO,"-16,2806113","-48,9319839"
I.P<)%1(2@9Y]I+N0F\\\),RUA ANTONIO CHICALHONE,218,13290000,JARDIM LAGO AZUL SANTO ANTONIO,LOUVEIRA,SP,"-23,0864185","-46,9770708"
"DMX""G_ZPYN,.+X0S1FG<N*",RUA AMANARU,152,21031590,RAMOS,RIO DE JANEIRO,RJ,"-22,8492135","-43,2540858"
"L1:>->\T4J#!#;LH+A'(Y*",ESTRADA VARGEM GRANDE,115,89135000,VARGEM GRANDE,APIUNA,SC,"-27,0337085","-49,3872519"
"F\""-3C4662FM5+"".&*15_-",AVENIDA EXPEDITO GARCIA,104,29146200,CAMPO GRANDE,CARIACICA,ES,"-20,3433882","-40,3875092"
"O`&%0*VO),S;V9MQT%GHC/",RUA HARROLD LAFFIN,208,89108000,GUARANI MIRIM,MASSARANDUBA,SC,"-26,6109126","-49,0091505"
"D,<\+@:N4P!6CCL$NA$D00",RUA BATISTA RAFFI,803,13068601,JARDIM APARECIDA,CAMPINAS,SP,"-22,8525901","-47,1565107"
B/*TA4C0Z39VF^@D#D%U!#,AVENIDA DOM PEDRO II,3180,30720460,CAICARAS,BELO HORIZONTE,MG,"-19,9120148","-43,9711978"
M*CY0U)1+F.8M<\$T\;/X(,AVENIDA DOUTOR GASTAO VIDIGAL CEAGESP,1946,05314000,VILA LEOPOLDINA,SAO PAULO,SP,"-23,5505199","-46,6333094"
"BYWWTM(/<;4OD*K\]YST'+",PRACA RAMATIS,161,31230000,PARQUE RIACHUELO,BELO HORIZONTE,MG,"-19,8909944","-43,9523488"
"LQ=5&MEK1:D[19Y""W@D:U/",RUA ANTONIO SANGOI NETO,156,97035090,JUSCELINO KUBITSCHEK,SANTA MARIA,RS,"-29,6963563","-53,844565"
"H+S#JU_""2)6L_.VFIX.?!.",RUA DO COMERCIO,102,63190000,ARAPORANGA,SANTANA DO CARIRI,CE,"-7,1882638","-39,7376748"
DF+>(#?IJY=M60!5*DZ9M-,LOCALIDADE BELA VISTA DO SUL,SN,89300000,BELA VISTA SUL,MAFRA,SC,"-26,1117326","-49,8065079"
"MUH[6NZC)]V:""VE-1%B)B)",RUA JOAO SABINO ANDRADE,70A,55602005,MATRIZ,VITORIA DE SANTO ANTAO,PE,"-8,1138885","-35,2915134"
FX!\I3PTY;/1L.9GZ1![W.,RUA CASA DO ATOR,275,04546004,VILA OLIMPIA,SAO PAULO,SP,"-23,6001428","-46,6763564"
"N""""Z)5P5@@,'N`>%H&(PL)",AVENIDA AFONSO PENA,1825,38400706,APARECIDA,UBERLANDIA,MG,"-18,908382","-48,270572"
"G,\4#:;$5M+Y)+ADH.^6>#",AVENIDA LUCIANINHO MELLI,42,06080010,VILA NOVA OSASCO,OSASCO,SP,"-23,541913","-46,7788579"
"L'-V//9B0HXHV4N9II4ZJ*",RUA ANGELO PETRONINI,478,15220000,CENTRO,MENDONCA,SP,"-21,1900316","-49,580999"
"O=WI3LY.""S*%E_4)&/S\Y$",RUA MAJOR ANTONIO T CARDOSO,223,97970000,CENTRO,ROQUE GONZALES,RS,"-28,1322847","-55,0223579"
DK*4HRZ*?!W<-$^$U!!*[.,RUA PRINCESA ISABEL,238,89211595,CENTRO,JOINVILLE,SC,"-26,2993337","-48,844535"
MG[Y#S?RX&/N&A-OT<5&@#,ESTRADA GERAL DO MORRO AGUDO,305,94090120,ITACOLOMI,GRAVATAI,RS,"-29,8744377","-50,9984135"
LYO8FRM62AI?3^C5Y0U=#*,RUA GAMA CERQUEIRA,323,01539010,CAMBUCI,SAO PAULO,SP,"-23,5702953","-46,6197298"
"E$?<?ZP+6977E/J""Q2!&E/",RUA POMPILHO GUIMARAES,171,36700000,FABRICA,LEOPOLDINA,MG,"-21,5368229","-42,6413579"
"P""K]YR8.!5YZS)BGC]_!4""",LOCALIDADE VILA FATIMA,SN,89638000,INTERIOR,VARGEM,SC,"-27,4872075","-50,9728528"
"GF0/1,_(@TE$<OYR!!5^I.",RUA PROFESSOR ALMEIDA COUSIN,125,29050565,ENSEADA DO SUA,VITORIA,ES,"-20,3137737","-40,2941848"
KLZ5]?YB2VOB.Z#P+/*5<$,RUA MARECHAL SEREJO,133,22743380,FREGUESIA JACAREPAGUA,RIO DE JANEIRO,RJ,"-22,9249284","-43,3431213"
"CH=&YE)D/+UJ)^%'76)_#*",LOCALIDADE DE LINHA PROGRESSO,SN,85892000,CENTRO,SANTA HELENA,PR,"-24,8569233","-54,3334256"
"I(;$T(H(BF;,W_R9Y^P;(!",RUA MIGUEL GLINKA,0,24716072,JARDIM CATARINA,SAO GONCALO,RJ,"-22,7853052","-43,0051048"
"E0Q7L`B/X;XR%]A@VAPD'*",VIA DE COSMORAMA A AMERICO DE CAMPOS,SN,15530000,ZONA RURAL,COSMORAMA,SP,"-20,4780031","-49,7779205"
P@>+8QI=<_PG+<:-QE:U4!,RUA JOSE BONIFACIO,180,13560160,CENTRO,SAO CARLOS,SP,"-22,0268377","-47,8934375"
"LU$^LBZ@9A7UYMSZ\B#'C-",RUA JOSE HILARIO,SN,35900202,VILA PIEDADE,ITABIRA,MG,"-19,6284156","-43,220858"
"AKB-7,AGD9/AB/T`7_W5E-",AVENIDA BARAO DE MAUA,50,09726000,CHACARA INGLESA,SAO BERNARDO DO CAMPO,SP,"-23,6911701","-46,5606889"
"K/BXG""J/^3F1);>ZB!FH1+",AVENIDA EUSEBIO MATOSO,690,05423000,PINHEIROS,SAO PAULO,SP,"-23,5714458","-46,697283"
"P<F$!+N+I""0*""<&_ZIK,+&",RUA ANGELO VARELA,9,59507000,CENTRO,ALTO DO RODRIGUES,RN,"-5,2887251","-36,7603816"
"NITUK,RR]3+)/J@'+=%MA#",AVENIDA SENADOR ALBERTO PASQUALINI,193,95900034,CENTRO,LAJEADO,RS,"-29,4589733","-51,9673123"
I]\&`LC$(E*0A]<;CE6>X!,RUA JOSE ALVES DOS SANTOS FILHO,SN,48370000,CENTRO,ESPLANADA,BA,"-11,7946561","-37,9435616"
"MQ@-UOHF//:<&,'`:9UTX&",RUA OLAVO BILAC,1,77890000,CENTRO,ANANAS,TO,"-6,3685511","-48,0697669"
"JI*W'=JER@=EQNL_B1&S\$",RUA EGEO BENTO FRATICCELI,311,06550000,JARDIM BOM JESUS,PIRAPORA DO BOM JESUS,SP,"-23,3969772","-46,9995522"
"IF2ECU""TO#TKZ""Y>#PG\=,",RUA ROXO MOREIRA,76,13083590,CIDADE UNIVERSITARIA,CAMPINAS,SP,"-22,812618","-47,0761302"
"JI:PF&1^*\PU/8:""F/WJO*",RUA PINHEIROS,72,09692020,PAULICEIA,SAO BERNARDO DO CAMPO,SP,"-23,6698174","-46,5853564"
"C`\6_U)SDOV1""/?+W=""I@$",AVENIDA SAO PAULO,503,19840000,CENTRO,MARACAI,SP,"-22,6105462","-50,6671498"
BW3`D-662+PM7L>BO/8SS-,FAZENDA SAO JOSE,SN,19804355,AGUA DO MELCHIOR,ASSIS,SP,"-22,6606373","-50,404369"
"B`O$O9VBF<@*1<5R7_I`',",RUA A,663,31360390,CONJUNTO CONFISCO,BELO HORIZONTE,MG,"-19,997465","-44,0423971"
"K4J?O,@L`.L@XW>U7MU/&&",RUA DOS ILHEUS,10,88010560,CENTRO,FLORIANOPOLIS,SC,"-27,5969056","-48,5486711"
"O`2EZ*5K`:[=3_EQS""\)E.",RUA TREZE DE MAIO,200,07071050,VILA GALVAO,GUARULHOS,SP,"-23,4556501","-46,5659188"
"IA=JD""D<:ZK%<]/G&FG.--",SITIO MURICI,16,55000000,MURICI,CARUARU,PE,"-8,2849639","-35,9701874"
"N4KD&])*C&*G97W!B'B&0'",AVENIDA GETULIO VARGAS,1268,85570000,CENTRO,SAO JOAO,PR,"-25,8335554","-52,7304154"
IK5#\(M#=N7LW-ZD]]L;>(,RUA JAGUARI,723,90820180,SANTA TEREZA,PORTO ALEGRE,RS,"-30,0875704","-51,2356869"
M>(99C&3/KH@E2O`#]#V;&,RUA JOSE NICOLINI,8,35235000,NICOLANDIA,RESPLENDOR,MG,"-19,3244066","-41,2513767"
"E>M3=K<\7+G1Q%*G\(WDC,",RODOVIA BR 376,3475,86975000,PARQUE INDUSTRIAL,MANDAGUARI,PR,"-23,5259717","-51,6790774"
"F,)H8^Y:];@V<""SKZ8=G',",AVENIDA ADOLFO PINHEIRO,3520,04734003,SANTO AMARO,SAO PAULO,SP,"-23,6317575","-46,6913253"
"DC'B:AUFR,&@A*-'U+2A3+",AVENIDA F A,150,76970000,SAO FILIPE,PIMENTA BUENO,RO,"-11,6821425","-61,1765191"
"FLTW(%6PU8B(#""(?7B&WV&",RODOVIA BR 163,SN,79440000,ZONA RURAL,JARAGUARI,MS,"-20,7683924","-54,5282522"
"FHQ6^71$(Y=AM)-:-<H,M-",RUA SAPOPEMBA,14B,02859140,JARDIM VITORIA REGIA ZONA NORTE,SAO PAULO,SP,"-23,4383937","-46,7079522"
"N58[F""4P$TW$36JJ4+V`)'",AVENIDA DA PENHA,570,29055131,PRAIA DO CANTO,VITORIA,ES,"-20,3058891","-40,2963769"
"PDHN[^,Y5.V76/7E_`=(F,",SITIO SAO JOSE,SN,18230000,BOA VISTA,SAO MIGUEL ARCANJO,SP,"-23,8888022","-47,9811739"
"FT9>BO.E'6Z6Y*OHM.@6D%",AVENIDA JOAO PEREIRA DE VARGAS,2884,93230210,NOVA SAPUCAIA,SAPUCAIA DO SUL,RS,"-29,8450304","-51,1373736"
"EX/L=Z+9;;)_""^(.[!_H7/",RUA RADIALISTA M SOBRINHO,95,30001970,CEU AZUL II,BELO HORIZONTE,MG,"-19,8122294","-44,0050075"
"H5J'BQ6(V(=5=\/D2JLC2$",RUA CARDEAL STEPINAC,592,31170220,CIDADE NOVA,BELO HORIZONTE,MG,"-19,8868188","-43,924144"
"B-(A\@-&3&,Y_D]A75L8P'",AVENIDA ITABERABA,3623,02739000,VILA MARACANA,SAO PAULO,SP,"-23,4778099","-46,6820484"
"C'Y->2/SYMK!VO7NQ&9*>#",RUA CORONEL MUNDICO SA,222,64500000,CENTRO,OEIRAS,PI,"-7,0136487","-42,1322099"
F0LB-``E;I36__?K;H[<Y&,RUA DONA ZULMIRA,498,90830240,CAVALHADA,PORTO ALEGRE,RS,"-30,0956211","-51,2272425"
"N99'Y@'CF\^SE:"".[P%Z/&",RUA ALVARES AZEVEDO,190,04671040,VILA SOFIA,SAO PAULO,SP,"-23,657769","-46,693659"
"D?YRS%%KA`S/40`+=6""P$/",RUA LUIZ VIANA,5,45265000,CENTRO,CAETANOS,BA,"-14,3354678","-40,9046493"
"E[&'""].+NF];N#>@,R(3H#",RUA GUARUJA,1,14090283,JARDIM PAULISTANO,RIBEIRAO PRETO,SP,"-21,1839696","-47,7938219"
"A5&\901D*PQ0,CKR6F9B0""",AVENIDA BERNARDINO DE CAMPOS,12,13900400,CENTRO,AMPARO,SP,"-22,7055965","-46,7693964"
"DRHH?&HR$J<>1<Z-E5D:)""",AVENIDA JOAO DURVAL CARNEIRO,SN,48970000,RODOVIARIO,SENHOR DO BONFIM,BA,"-10,4546513","-40,1819714"
"E+9?K2:,)+HL3F-C;8QFS+",RUA SAOA PAULO,220,86935000,CENTRO,LUNARDELLI,PR,"-24,0778289","-51,7418756"
"G`@B5_RR_=V3YJ'QF?%:Z,",RUA DOS BANDEIRANTES,125,40260120,MATATU DE BROTAS,SALVADOR,BA,"-12,9726504","-38,4938111"
"G32YNT.EC,KCL`!8TFR`C%",RUA QUINTINO MOREIRA,12,35774000,0,PARAOPEBA,MG,"-19,2760428","-44,405245"
"MI""C`IF!,Y-I.P<]-:Q4M!",RUA MIGUEL CALMON,63,40015010,COMERCIO,SALVADOR,BA,"-12,9718268","-38,5129729"
"JV8(']@=Z);A.SO6H""X01*",RODOVIA MT 308,SN,78400000,ZONA RURAL,DIAMANTINO,MT,"-14,4040989","-56,4370932"
"NL,WJ0Z83-:?'#NGQ\-0F/",AVENIDA PRESIDENTE KENNEDY,409,49400000,SEDE,LAGARTO,SE,"-10,9122056","-37,6708401"
"K9C?K\$/(D/X=-<1[""Q\U""",RUA ODETTE PACHECO,184,60325580,SAO GERARDO,FORTALEZA,CE,"-3,7271625","-38,5550863"
"JU*K6W#KC:I^Y5(=SU/""%(",RUA AFONSO CELSO,561,40140080,CENTRO,SALVADOR,BA,"-13,0081176","-38,527092"
"LI-OF9A)7VP""PLCOMDJ""L%",RUA MINAS GERAIS,SN,73850000,CENTRO,CRISTALINA,GO,"-16,7631914","-47,6075051"
"KB3X-;X7[#""U/5#BMFKD]-",RUA DA BANDEIRA,52,62184000,CENTRO,CARIRE,CE,"-3,94904","-40,4736592"
"E\MPK`N'IQSH#?/7ZY87W(",RUA RICARDO EMILIO MICHEL,66,81250610,CIDADE INDUSTRIAL,CURITIBA,PR,"-25,4876981","-49,3406071"
"H0R'$@ND\'W?Y3'YC+,BR&",AVENIDA DAS BANDEIRAS,806,79081310,JARDIM NHANHA,CAMPO GRANDE,MS,"-20,4798635","-54,6215663"
"C;I*'I('G_BQ+5PA<0MHT)",AVENIDA ANTONIETA PASQUARELLI PENTEADO,170,07786515,ALTOS DE JORDANESIA,CAJAMAR,SP,"-23,3362278","-46,8345215"
N;E`_*E9/[>1+=MII08T/.,RUA JOAO CLAPP,542,14080350,CAMPOS ELISEOS,RIBEIRAO PRETO,SP,"-21,1606727","-47,8024612"
"F,5_0%Y-BS[$\'OHH*2`)*",RUA ANAI,33,03253040,VILA INDUSTRIAL,SAO PAULO,SP,"-23,6093521","-46,5320263"
"O&=7?]%,6WCD^?BP4(SZN*",PRACA DA SOLEDADE,53,55820000,CENTRO,LAGOA DO CARRO,PE,"-7,844248","-35,3111011"
"IUO$S""2N`SE_(/2RAZ!YI&",AVENIDA VEREADOR D PASSARINHO,1013,19807155,VL PRUDENCIANA,ASSIS,SP,"-22,6710153","-50,4381695"
"AZ[?-""(<(>*+%+GOT7_!Z%",AVENIDA PRINCIPAL,SN,87504616,SERRA DOS DOURADOS,UMUARAMA,PR,"-23,7661064","-53,3206105"
"C>9XY`OZSLMJXC/UVPY_K,",RUA VITORINO BACELAR,223,89300000,CENTRO,MAFRA,SC,"-26,1117326","-49,8065079"
"JKS""9>8]J-[Y;6ZE?.1@V(",ESTRADA BENEDITO CESARIO DE OLIVEIRA,588,06767280,VILA IASI,TABOAO DA SERRA,SP,"-23,6214512","-46,7888221"
"G,D4\`DRM5=EG)*YL'Q!4!",RUA 6,SN,74633400,VILA OSVALDO ROSA,GOIANIA,GO,"-16,6591068","-49,278129"
"M$->=JNV&ZN@*O,*!?`.]*",RUA CUSTODIO NASCIMENTO,20,08380059,JARDIM ROSELI,SAO PAULO,SP,"-23,5948436","-46,4432643"
"L].UK[K8O79&)I!7;),MF#",TRECHO PORTUGUES,39,35300068,CENTRO,CARATINGA,MG,"-19,7896207","-42,1415419"
"N=6O');W[`:>!4O\U*-PT/",AVENIDA ITABERABA,5107,02739000,VILA N CACHOEIRINHA,SAO PAULO,SP,"-23,474187","-46,6693958"
"E^KM+M);L]58CNV]4>!82""",RUA DEDI BARICHELLO MONTAGNER,SN,85660000,CENTRO NORTE,DOIS VIZINHOS,PR,"-25,7464549","-53,0615734"
"N8UK]B5=*)AN7U""O4@Q=Q+",RUA GETULIO VARGAS,SN,58770000,CENTRO,COREMAS,PB,"-7,0190869","-37,9440765"
"AAX<N]1<'[,R+VY4H6.WO'",RUA COMENDADOR ANTONIO ALVES,704,33600970,CENTRO,PEDRO LEOPOLDO,MG,"-19,6213368","-44,0415215"
"E""3F@'?#KMF$<^0C""OZ!.+",RUA XV DE NOVEMBRO,51,16880000,CENTRO,VALPARAISO,SP,"-21,2254231","-50,8683504"
G&9-$KTE^P?[R__N<;LOP!,AVENIDA DA SAUDADE,32,13150000,CHACARA HORIZONTE,COSMOPOLIS,SP,"-22,6482084","-47,1886192"
"I/)F\1\,""6Z@M41_]:94D%",RODOVIA SC 405,112,88065000,CAMPECHE,FLORIANOPOLIS,SC,"-27,6619842","-48,501835"
"E_H#D;""T,`^F(E!Q'#`KT""",RUA DO RUSSEL,SN,74942470,JARDIM BURITI SERENO,APARECIDA DE GOIANIA,GO,"-16,820257","-49,2473044"
P9J;@K40*+N5YX%N(7`Q3#,RUA ALVES DE BRITO,141,88015440,CENTRO,FLORIANOPOLIS,SC,"-27,5859254","-48,5471612"
O/%\.:K]9/+U72J^LAOI($,PRACA DOUTOR GAMA,476,16200003,CENTRO,BIRIGUI,SP,"-21,28913","-50,34124"
"B,XA^89Q3MIWC<TU+/M.^(",RUA ALEIXO RODRIGUES DE QUEIROZ,840,75115010,VILA INDUSTRIAL,ANAPOLIS,GO,"-16,328546","-48,953403"
INF?N8F?Q[7Y!LX4RMBJ?+,FAZENDA MARACUJA,SN,35500970,AREA RURAL,DIVINOPOLIS,MG,"-20,1451261","-44,8916447"
J%R%Q\X_56%#O#39JH>/4#,RUA GRACIOSA FABRO,114,95055065,DIAMANTINO,CAXIAS DO SUL,RS,"-29,1557242","-51,1393047"
"I<J!:.LP1W_@-1*?DK;]N'",RUA PEROLINA ARAUJO,166,49890000,CENTRO,NOSSA SENHORA DE LOURDES,SE,"-10,0776488","-37,0570297"
G14<HLZ9`>WX+1R5+9D8*0,SITIO MONTE AZUL,SN,16640000,DUAS PONTES,BALBINOS,SP,"-21,8967699","-49,3623695"
"D#Z""5\%X?@VD>E&Z(D]V,&",RUA ALBINO B GABRIL,227,04727030,VILA CRUZEIRO,SAO PAULO,SP,"-23,6427249","-46,7134267"
"F,9&6!#NXK!X(D/.ED#DK'",RUA APOL SATHLER,86,35040060,SANTA RITA,GOVERNADOR VALADARES,MG,"-18,8549317","-41,9559233"
L&]-$8\+M._BSB#(FU>$V/,SITIO SAO BENEDITO,SN,19880000,AGUA DO FOGO,CANDIDO MOTA,SP,"-22,7466667","-50,3880476"
"PHFN6HJ(`><BQ`E<O:""8:$",RUA ANTONIO LOSSO,972,85055310,CONRADINHO,GUARAPUAVA,PR,"-25,3695058","-51,4636864"
"D#0.>*XQ#@2,B9TMTENR,'",RUA LONDRES,450,03731030,VILA LONDRINA,SAO PAULO,SP,"-23,5107859","-46,5360225"
HFC@>H>_`1C;35#A61&>/*,RUA HEITOR PENTEADO,1759,05437000,SUMAREZINHO,SAO PAULO,SP,"-23,5438399","-46,6943593"
G69U1@F;H1J%T[[9!XD1_(,RUA DESEMBARGADOR MOTTA,2308,80420190,CENTRO,CURITIBA,PR,"-25,435128","-49,2829662"
LJ/HE0\-2#;B8*M_-%WC--,AVENIDA DO AGRICULTOR,SN,46470000,SAO FELIX,RIACHO DE SANTANA,BA,"-13,6063873","-42,9400663"
"FBF?(U6@W-*1!.F.SBI,F#",PRACA GAGO COUTINHO,SN,41510045,SAO CRISTOVAO,SALVADOR,BA,"-12,9141607","-38,336459"
HCDT3Q^]U3VEU`5\X`1Y1/,RUA DOUTOR ATALIBA LEONEL,225,18740000,CENTRO,TAQUARITUBA,SP,"-23,5334414","-49,2439031"
"GVH7D""!OTZLUZ6JLF>A'=0",AVENIDA DOUTOR VITAL BRASIL,1108,05503000,BUTANTA,SAO PAULO,SP,"-23,5688671","-46,7147589"
"NE<;LX&W2""W17X68U9+2[&",RUA MANUEL DE MACEDO,386,14030560,JARDIM PIRATININGA,RIBEIRAO PRETO,SP,"-21,1830653","-47,8363908"
"CCR:OM1CA*+P8_OJ`I_,1.",RUA DO URUGUAI,753,40454260,URUGUAI,SALVADOR,BA,"-12,9299892","-38,4924987"
"L!^CZ2&)CJ&SQRCAH]!@I,",RUA CLAUDIONOR WANDERLEY,74,40301155,BOA VIAGEM,SALVADOR,BA,"-12,9303016","-38,5120363"
"A$EN)7)Y=.&BD7'=*9?1F(",AVENIDA MARECHAL HERMES,200,11700250,CANTO DO FORTE,PRAIA GRANDE,SP,"-24,0126477","-46,406233"
"FMWC[=@"";E)YP`(HY]64H0",RUA LUDGERO GUILHERME COSTA,111A,62790000,CENTRO,REDENCAO,CE,"-4,2238817","-38,7302215"
F8*R:=E;V$^`ZA-!MLRM]&,RUA FRANCISCO DE ASSIS,25,85022220,BOQUEIRAO,GUARAPUAVA,PR,"-25,4135668","-51,4746181"
"KTO9KA?R&V\.+(,X!0(/L""",RUA DOM PEDRO II,1499,76804027,SAO CRISTOVAO,PORTO VELHO,RO,"-8,760919","-63,8962021"
O<1F\*QC-@<YW:7KJMQWL#,RUA MARCILIO DIAS,380,88511570,VARZEA,LAGES,SC,"-27,8361769","-50,3106181"
"A.!'=N\D@`W&BIW^5'VH$*",AVENIDA MENDEL,61,35702192,JK,SETE LAGOAS,MG,"-19,4204056","-44,2442282"
"EM""OHH$^=G2F\NV6XDJP*+",RUA DO MINUANO,223,79080520,JARDIM MARCOS ROBERTO,CAMPO GRANDE,MS,"-20,4855858","-54,6285346"
NN=RLL`[P\(8.NP.1&BZO0,RODOVIA BA 52,900,47400000,ALFREDO HENRIQUE SAMPAIO,XIQUE XIQUE,BA,"-10,8234273","-42,724969"
"H@B7JT3&\)E=*""'ZMAC4Q.",RUA INDUSTRIAL,180,26021150,POSSE,NOVA IGUACU,RJ,"-22,7319933","-43,4554915"
BVUSU=OIG!%SL7CW%P1$;(,RUA VICENTE FRANCO TOLENTINO,132,03982180,PARQUE SANTA MADALENA,SAO PAULO,SP,"-23,6125469","-46,506455"
"AKBYC@EV4I,.X'Q2ED::).",AVENIDA ROBERT KENNEDY,3073,09860122,JARDIM BRASILANDIA,SAO BERNARDO DO CAMPO,SP,"-23,7177081","-46,5732203"
"F*<7*!9Z8A3_,62+@YY4C.",PRACA VEREADOR JOSE MARQUES BORGES,78,46220000,CENTRO,RIO DO ANTONIO,BA,"-14,4075968","-42,0724884"
"O\Y=#-I!I-NC2$M4#,K+F*",AVENIDA PRESIDENTE ARTHUR DA SILVA BERNARDES,560,80320300,SANTA QUITERIA,CURITIBA,PR,"-25,4572615","-49,3034942"
"H,M'9ST<00;LVN/8[I@T(0",RUA FREI EUSTAQUIO,52A,39400612,SAO JUDAS TADEU,MONTES CLAROS,MG,"-16,7473624","-43,8609503"
"D?_T/@,[M5J4`9K68UL>D)",RUA JOAO DE SIQUEIRA AFONSO,281,08452000,LAJEADO,SAO PAULO,SP,"-23,5379837","-46,3959428"
"EQQ<7\[67""3&YA@!2*[-[#",RUA WILSON TRONCOSO,958,16204155,RESIDENCIAL ALVORADA,BIRIGUI,SP,"-21,2915055","-50,3436312"
"BCT,!Y^K""*G)<B*T%%=91+",RUA FRANCISCO VALOIS,SN,75104280,SETOR INDUSTRIAL AEROPORTO,ANAPOLIS,GO,"-16,3596741","-48,9269257"
BR<H!C$S-[Q28)L*08(Y_+,RUA PARAIBA,SN,47850000,CENTRO,LUIS EDUARDO MAGALHAES,BA,"-12,079662","-45,7988017"
OXF\9X]8)J%5QE1/PCU<9%,RUA ALFREDO SCHURIG,67,12327005,CENTRO,JACAREI,SP,"-23,305827","-45,9691692"
"AIB]3Y&,4+&X_R@746;H3)",RUA F,386,68515000,UNIAO,PARAUAPEBAS,PA,"-6,0686758","-49,9050556"
"A'()%:J]!:,4QMYARA(>U!",ESTRADA MUNICIPAL TURIUBA A MONCOES,0,15280000,PALMEIRAS,TURIUBA,SP,"-20,9475914","-50,1104467"
"H<4`-1""-.GV%\]&:K80H**",RUA ALIADOS,484,14080570,CAMPOS ELISEOS,RIBEIRAO PRETO,SP,"-21,1502253","-47,8020031"
"MY=LX[BN4&QI:/#!G:)4`'",RUA DEPUTADO LACERDA FRANCO,553,05418001,PINHEIROS,SAO PAULO,SP,"-23,5607191","-46,6926222"
BBMFM0<8GGW70Y-G.T7H:!,RUA FRANCISCO KNABBEM,SN,88735000,TERMAS DO GRAVATAL,GRAVATAL,SC,"-28,3212662","-49,0431687"
MC!=$;]1K3_7N6DP_<2_A*,SITIO SINAI,SN,19470000,CAMPINAL,PRESIDENTE EPITACIO,SP,"-21,7668575","-52,1096427"
"N)XEZ4V^VB5KH5^C""?H>##",AVENIDA OTTO BAUMGART,500,02049000,VILA GUILHERME,SAO PAULO,SP,"-23,5144575","-46,615003"
"L_E,:=L[=,F(8B5*HWP\3)",RUA PC ALEXANDRITA,205,94431700,LOTEAMENTO ELDORADO,VIAMAO,RS,"-30,0722165","-51,0969571"
"FZ5\?\K*2$""6!B3P)+?N]-",PRAIA DE BOTAFOGO,501,22250040,BOTAFOGO,RIO DE JANEIRO,RJ,"-22,9504707","-43,180611"
F^%J/R*(8!KJ%2[3PZ!1[),RUA MARIA FRANCISCA PEREIRA,50,17064430,PARQUE ROOSEVELT,BAURU,SP,"-22,3008094","-49,0942451"
"K;Z<KBD\X^['GH@1;K2:R!",AVENIDA SAO GABRIEL,477,01435001,JARDIM PAULISTA,SAO PAULO,SP,"-23,5787839","-46,6709915"
"OW4TJX2]N-?@8+5[,CF8V'",RUA CORONEL LIMA ROCHA,628,57055502,PINHEIRO,MACEIO,AL,"-9,6386866","-35,7414187"
JX_#5!^/K8.>R).NH@TAV+,RUA JOAO PINTO DE OLIVEIRA,480,02849110,JARDIM GUARANI,SAO PAULO,SP,"-23,4613552","-46,6877888"
"C%QD#J*+L6$SV]1_^OO@$""",ESTRADA AMELIA B DOS SANTOS,113,88380000,MORRETES,BALNEARIO PICARRAS,SC,"-26,7684656","-48,6804184"
"BM^$""L[.$'-K:)L)XM)C2(",RUA HELIO DE OLIVEIRA,67,40265020,SANTA TERESA,SALVADOR,BA,"-12,9767211","-38,4839218"
"C$8^Z)(2S00(2]!%#G*\8""",RUA EMILIO TEODORO SILVA,30,37418000,CENTRO,SAO THOME DAS LETRAS,MG,"-21,7218513","-44,983291"
L.:5Z5-HRWRW@3Q!>T&I>%,RUA PROFESSOR SA NUNES,24,21231030,IRAJA,RIO DE JANEIRO,RJ,"-22,8305297","-43,323059"
