sk_tempo,data,mes,ano
5/17/1991,5/17/1991,,
8/27/2011,8/27/2011,,
10/27/2010,10/27/2010,,
06/06/1991,06/06/1991,jun,1991
7/16/2012,7/16/2012,,
08/10/2011,08/10/2011,out,2011
10/17/2011,10/17/2011,,
1/30/2009,1/30/2009,,
7/17/2012,7/17/2012,,
11/10/1993,11/10/1993,out,1993
8/16/2010,8/16/2010,,
10/21/1975,10/21/1975,,
10/28/2010,10/28/2010,,
5/20/1991,5/20/1991,,
10/23/1997,10/23/1997,,
6/29/1990,6/29/1990,,
4/20/1994,4/20/1994,,
11/18/1992,11/18/1992,,
9/19/2011,9/19/2011,,
6/20/1989,6/20/1989,,
12/11/2011,12/11/2011,nov,2011
12/27/1996,12/27/1996,,
12/28/1984,12/28/1984,,
2/14/2012,2/14/2012,,
9/22/2011,9/22/2011,,
05/12/1975,05/12/1975,dez,1975
5/22/1997,5/22/1997,,
02/04/1997,02/04/1997,abr,1997
7/25/2012,7/25/2012,,
05/02/1998,05/02/1998,fev,1998
09/10/2008,09/10/2008,out,2008
05/09/2012,05/09/2012,set,2012
10/21/2008,10/21/2008,,
8/13/1998,8/13/1998,,
9/30/1991,9/30/1991,,
3/26/1992,3/26/1992,,
02/03/1997,02/03/1997,mar,1997
07/08/2008,07/08/2008,ago,2008
7/27/2004,7/27/2004,,
07/12/1982,07/12/1982,dez,1982
3/16/1999,3/16/1999,,
07/09/2004,07/09/2004,set,2004
04/07/2003,04/07/2003,jul,2003
5/29/2012,5/29/2012,,
3/20/1979,3/20/1979,,
02/08/2011,02/08/2011,ago,2011
07/11/2011,07/11/2011,nov,2011
12/12/2002,12/12/2002,dez,2002
04/06/1999,04/06/1999,jun,1999
03/04/1999,03/04/1999,abr,1999
1/13/1999,1/13/1999,,
3/31/1998,3/31/1998,,
8/27/2009,8/27/2009,,
5/27/1977,5/27/1977,,
8/24/2009,8/24/2009,,
05/03/2004,05/03/2004,mar,2004
5/18/2001,5/18/2001,,
9/24/2009,9/24/2009,,
7/19/2006,7/19/2006,,
6/26/2009,6/26/2009,,
08/12/1977,08/12/1977,dez,1977
11/28/1983,11/28/1983,,
01/11/2007,01/11/2007,nov,2007
01/06/2010,01/06/2010,jun,2010
10/21/2010,10/21/2010,,
6/25/1990,6/25/1990,,
7/22/2005,7/22/2005,,
2/22/2012,2/22/2012,,
5/16/2001,5/16/2001,,
4/28/2008,4/28/2008,,
10/20/2004,10/20/2004,,
10/16/1996,10/16/1996,,
08/02/1999,08/02/1999,fev,1999
2/17/1997,2/17/1997,,
02/07/1991,02/07/1991,jul,1991
1/22/2010,1/22/2010,,
5/16/2005,5/16/2005,,
08/03/1993,08/03/1993,mar,1993
6/22/2010,6/22/2010,,
02/08/2006,02/08/2006,ago,2006
04/10/1974,04/10/1974,out,1974
3/17/2010,3/17/2010,,
3/23/1981,3/23/1981,,
1/29/1996,1/29/1996,,
11/25/2003,11/25/2003,,
12/01/1994,12/01/1994,jan,1994
12/16/2008,12/16/2008,,
11/21/2006,11/21/2006,,
2/17/1981,2/17/1981,,
08/05/2009,08/05/2009,mai,2009
05/09/2005,05/09/2005,set,2005
3/29/1974,3/29/1974,,
12/04/1989,12/04/1989,abr,1989
7/30/1997,7/30/1997,,
10/15/2010,10/15/2010,,
3/20/2009,3/20/2009,,
7/15/1991,7/15/1991,,
8/14/1997,8/14/1997,,
01/05/2011,01/05/2011,mai,2011
2/18/1986,2/18/1986,,
4/25/1988,4/25/1988,,
07/05/1991,07/05/1991,mai,1991
11/13/2000,11/13/2000,,
08/05/1991,08/05/1991,mai,1991
1/16/1987,1/16/1987,,
4/30/2012,4/30/2012,,
03/10/2005,03/10/2005,out,2005
11/01/2000,11/01/2000,jan,2000
05/08/2012,05/08/2012,ago,2012
8/25/2006,8/25/2006,,
04/04/2012,04/04/2012,abr,2012
12/22/1998,12/22/1998,,
6/19/2000,6/19/2000,,
12/03/1979,12/03/1979,mar,1979
02/09/1998,02/09/1998,set,1998
12/16/1988,12/16/1988,,
11/28/2006,11/28/2006,,
9/26/1979,9/26/1979,,
12/03/1981,12/03/1981,mar,1981
04/10/1995,04/10/1995,out,1995
8/19/1994,8/19/1994,,
6/13/1995,6/13/1995,,
4/15/1998,4/15/1998,,
5/30/1997,5/30/1997,,
09/01/1998,09/01/1998,jan,1998
06/05/2000,06/05/2000,mai,2000
11/10/1966,11/10/1966,out,1966
6/22/1987,6/22/1987,,
8/25/1986,8/25/1986,,
2/21/1990,2/21/1990,,
01/04/1994,01/04/1994,abr,1994
3/20/2007,3/20/2007,,
5/29/2002,5/29/2002,,
08/01/2003,08/01/2003,jan,2003
7/16/2008,7/16/2008,,
8/21/1986,8/21/1986,,
12/04/2008,12/04/2008,abr,2008
08/04/2010,08/04/2010,abr,2010
11/05/1996,11/05/1996,mai,1996
4/22/1991,4/22/1991,,
05/04/1981,05/04/1981,abr,1981
8/24/2011,8/24/2011,,
6/16/2012,6/16/2012,,
12/23/2009,12/23/2009,,
06/07/2010,06/07/2010,jul,2010
11/23/2010,11/23/2010,,
12/22/2010,12/22/2010,,
12/02/2011,12/02/2011,fev,2011
1/24/2011,1/24/2011,,
08/10/2011,08/10/2011,out,2011
05/04/1998,05/04/1998,abr,1998
3/24/2011,3/24/2011,,
7/28/2010,7/28/2010,,
1/20/2010,1/20/2010,,
05/07/2011,05/07/2011,jul,2011
10/16/2009,10/16/2009,,
9/14/2009,9/14/2009,,
10/22/2010,10/22/2010,,
1/16/2008,1/16/2008,,
6/24/2008,6/24/2008,,
5/13/1999,5/13/1999,,
9/27/2011,9/27/2011,,
6/25/1996,6/25/1996,,
2/13/2009,2/13/2009,,
2/16/2011,2/16/2011,,
3/21/2012,3/21/2012,,
3/20/2012,3/20/2012,,
06/09/2003,06/09/2003,set,2003
06/05/2006,06/05/2006,mai,2006
1/24/1996,1/24/1996,,
10/21/2005,10/21/2005,,
3/18/2011,3/18/2011,,
8/31/2011,8/31/2011,,
10/06/2009,10/06/2009,jun,2009
12/16/2004,12/16/2004,,
10/13/2005,10/13/2005,,
9/28/1993,9/28/1993,,
8/18/2009,8/18/2009,,
12/14/2007,12/14/2007,,
04/11/2000,04/11/2000,nov,2000
9/30/2009,9/30/2009,,
5/26/1988,5/26/1988,,
1/17/1996,1/17/1996,,
02/02/2005,02/02/2005,fev,2005
9/16/2009,9/16/2009,,
7/14/1993,7/14/1993,,
11/22/2005,11/22/2005,,
10/26/1983,10/26/1983,,
12/12/2000,12/12/2000,dez,2000
1/31/1997,1/31/1997,,
09/06/2011,09/06/2011,jun,2011
11/14/2006,11/14/2006,,
07/03/1987,07/03/1987,mar,1987
1/30/2003,1/30/2003,,
04/09/2010,04/09/2010,set,2010
04/11/1990,04/11/1990,nov,1990
05/10/2010,05/10/2010,out,2010
3/27/2012,3/27/2012,,
04/07/2003,04/07/2003,jul,2003
8/13/2007,8/13/2007,,
07/11/2005,07/11/2005,nov,2005
2/16/2005,2/16/2005,,
8/18/2011,8/18/2011,,
01/11/2007,01/11/2007,nov,2007
6/16/2006,6/16/2006,,
01/03/2005,01/03/2005,mar,2005
11/19/2009,11/19/2009,,
05/04/2007,05/04/2007,abr,2007
2/14/2006,2/14/2006,,
2/21/2008,2/21/2008,,
2/16/2012,2/16/2012,,
08/03/2005,08/03/2005,mar,2005
11/17/2004,11/17/2004,,
12/22/2010,12/22/2010,,
5/31/2005,5/31/2005,,
04/11/2012,04/11/2012,nov,2012
04/11/2012,04/11/2012,nov,2012
07/05/2007,07/05/2007,mai,2007
8/31/2010,8/31/2010,,
8/17/2005,8/17/2005,,
11/12/2007,11/12/2007,dez,2007
12/23/2011,12/23/2011,,
12/13/2011,12/13/2011,,
4/27/2012,4/27/2012,,
11/10/2011,11/10/2011,out,2011
10/22/2007,10/22/2007,,
08/10/1994,08/10/1994,out,1994
03/10/2010,03/10/2010,out,2010
11/20/2003,11/20/2003,,
3/23/2000,3/23/2000,,
11/18/1974,11/18/1974,,
06/08/2011,06/08/2011,ago,2011
2/14/2012,2/14/2012,,
1/13/2009,1/13/2009,,
8/17/2005,8/17/2005,,
06/12/1971,06/12/1971,dez,1971
12/19/1994,12/19/1994,,
02/09/1989,02/09/1989,set,1989
9/25/1990,9/25/1990,,
03/01/1997,03/01/1997,jan,1997
1/17/2000,1/17/2000,,
07/10/2008,07/10/2008,out,2008
07/09/2008,07/09/2008,set,2008
7/19/2004,7/19/2004,,
07/06/2008,07/06/2008,jun,2008
08/05/2011,08/05/2011,mai,2011
10/30/2009,10/30/2009,,
9/26/1996,9/26/1996,,
03/09/2011,03/09/2011,set,2011
2/23/2010,2/23/2010,,
10/18/2012,10/18/2012,,
4/14/2011,4/14/2011,,
05/10/2007,05/10/2007,out,2007
02/07/1994,02/07/1994,jul,1994
10/10/2007,10/10/2007,out,2007
7/18/1989,7/18/1989,,
06/03/2011,06/03/2011,mar,2011
6/13/2011,6/13/2011,,
05/06/2008,05/06/2008,jun,2008
9/18/2007,9/18/2007,,
6/22/2011,6/22/2011,,
07/05/2012,07/05/2012,mai,2012
07/05/2012,07/05/2012,mai,2012
08/09/2006,08/09/2006,set,2006
07/06/2010,07/06/2010,jun,2010
10/03/2011,10/03/2011,mar,2011
05/10/2012,05/10/2012,out,2012
10/31/2007,10/31/2007,,
06/11/1996,06/11/1996,nov,1996
6/21/2012,6/21/2012,,
12/02/1996,12/02/1996,fev,1996
5/31/2001,5/31/2001,,
04/05/2011,04/05/2011,mai,2011
09/10/1986,09/10/1986,out,1986
10/11/1996,10/11/1996,nov,1996
6/29/2011,6/29/2011,,
06/11/2007,06/11/2007,nov,2007
08/12/2008,08/12/2008,dez,2008
07/12/2011,07/12/2011,dez,2011
01/10/1991,01/10/1991,out,1991
08/09/2010,08/09/2010,set,2010
01/04/2012,01/04/2012,abr,2012
11/28/2011,11/28/2011,,
12/07/2011,12/07/2011,jul,2011
07/09/2007,07/09/2007,set,2007
2/17/1997,2/17/1997,,
05/09/1997,05/09/1997,set,1997
8/28/1995,8/28/1995,,
07/08/2012,07/08/2012,ago,2012
07/09/2012,07/09/2012,set,2012
04/01/1993,04/01/1993,jan,1993
10/05/2011,10/05/2011,mai,2011
10/10/2011,10/10/2011,out,2011
6/22/2011,6/22/2011,,
3/25/2010,3/25/2010,,
7/30/2009,7/30/2009,,
04/07/2000,04/07/2000,jul,2000
10/20/2011,10/20/2011,,
10/19/2011,10/19/2011,,
6/26/1975,6/26/1975,,
10/04/2011,10/04/2011,abr,2011
12/03/1991,12/03/1991,mar,1991
1/19/1979,1/19/1979,,
6/29/1989,6/29/1989,,
09/02/2011,09/02/2011,fev,2011
11/12/2004,11/12/2004,dez,2004
10/25/2002,10/25/2002,,
05/12/2006,05/12/2006,dez,2006
07/12/1993,07/12/1993,dez,1993
10/19/2009,10/19/2009,,
11/26/2004,11/26/2004,,
11/30/2000,11/30/2000,,
1/22/2010,1/22/2010,,
06/12/2012,06/12/2012,dez,2012
1/13/2011,1/13/2011,,
4/27/2004,4/27/2004,,
8/27/1996,8/27/1996,,
4/17/1995,4/17/1995,,
6/30/1997,6/30/1997,,
7/20/1989,7/20/1989,,
4/13/1987,4/13/1987,,
12/19/2007,12/19/2007,,
03/02/2011,03/02/2011,fev,2011
7/17/2000,7/17/2000,,
08/09/2010,08/09/2010,set,2010
2/24/2012,2/24/2012,,
8/17/2011,8/17/2011,,
01/09/1998,01/09/1998,set,1998
8/16/2004,8/16/2004,,
7/30/1998,7/30/1998,,
11/11/1998,11/11/1998,nov,1998
10/16/1996,10/16/1996,,
4/17/2002,4/17/2002,,
9/24/2001,9/24/2001,,
11/26/2008,11/26/2008,,
11/26/2010,11/26/2010,,
08/01/1991,08/01/1991,jan,1991
2/23/2011,2/23/2011,,
05/03/2004,05/03/2004,mar,2004
11/08/2011,11/08/2011,ago,2011
05/09/1986,05/09/1986,set,1986
2/14/1995,2/14/1995,,
9/13/2007,9/13/2007,,
11/27/1995,11/27/1995,,
6/13/2007,6/13/2007,,
04/01/2011,04/01/2011,jan,2011
2/24/1972,2/24/1972,,
5/13/1987,5/13/1987,,
10/30/2008,10/30/2008,,
05/09/1989,05/09/1989,set,1989
04/08/1997,04/08/1997,ago,1997
10/08/2003,10/08/2003,ago,2003
11/26/1991,11/26/1991,,
04/11/2012,04/11/2012,nov,2012
10/04/2006,10/04/2006,abr,2006
08/11/1994,08/11/1994,nov,1994
06/12/1995,06/12/1995,dez,1995
2/23/2011,2/23/2011,,
01/10/1984,01/10/1984,out,1984
10/25/2010,10/25/2010,,
06/06/2011,06/06/2011,jun,2011
9/26/2007,9/26/2007,,
3/22/2010,3/22/2010,,
01/03/1994,01/03/1994,mar,1994
09/11/2008,09/11/2008,nov,2008
4/26/2002,4/26/2002,,
08/11/2010,08/11/2010,nov,2010
02/04/2003,02/04/2003,abr,2003
7/26/2004,7/26/2004,,
8/21/2006,8/21/2006,,
3/29/2011,3/29/2011,,
02/07/2011,02/07/2011,jul,2011
9/21/2010,9/21/2010,,
10/09/2009,10/09/2009,set,2009
09/04/2007,09/04/2007,abr,2007
02/10/1988,02/10/1988,out,1988
01/12/1987,01/12/1987,dez,1987
11/01/1996,11/01/1996,jan,1996
3/19/2002,3/19/2002,,
7/20/1999,7/20/1999,,
03/04/2010,03/04/2010,abr,2010
11/27/1997,11/27/1997,,
06/03/1998,06/03/1998,mar,1998
12/11/2002,12/11/2002,nov,2002
01/04/2012,01/04/2012,abr,2012
9/30/2010,9/30/2010,,
01/12/2011,01/12/2011,dez,2011
2/21/2006,2/21/2006,,
07/04/1997,07/04/1997,abr,1997
2/28/2008,2/28/2008,,
9/27/2012,9/27/2012,,
8/18/1988,8/18/1988,,
8/31/2003,8/31/2003,,
8/21/1998,8/21/1998,,
4/29/2010,4/29/2010,,
08/10/2010,08/10/2010,out,2010
5/20/1983,5/20/1983,,
10/02/1981,10/02/1981,fev,1981
6/25/1985,6/25/1985,,
10/19/1982,10/19/1982,,
9/27/1973,9/27/1973,,
5/14/1991,5/14/1991,,
4/19/1994,4/19/1994,,
04/06/1984,04/06/1984,jun,1984
11/16/2005,11/16/2005,,
05/02/1988,05/02/1988,fev,1988
03/09/1995,03/09/1995,set,1995
05/03/1983,05/03/1983,mar,1983
01/06/1986,01/06/1986,jun,1986
12/12/2007,12/12/2007,dez,2007
1/25/1988,1/25/1988,,
2/16/1993,2/16/1993,,
5/13/2010,5/13/2010,,
09/03/2003,09/03/2003,mar,2003
6/20/2002,6/20/2002,,
1/20/2006,1/20/2006,,
12/22/2008,12/22/2008,,
12/27/1974,12/27/1974,,
08/11/2006,08/11/2006,nov,2006
04/03/1996,04/03/1996,mar,1996
12/22/2010,12/22/2010,,
10/18/2002,10/18/2002,,
03/09/1995,03/09/1995,set,1995
10/26/2001,10/26/2001,,
7/25/2012,7/25/2012,,
5/18/2010,5/18/2010,,
08/12/2010,08/12/2010,dez,2010
7/21/2011,7/21/2011,,
1/26/2011,1/26/2011,,
7/30/2012,7/30/2012,,
10/06/2010,10/06/2010,jun,2010
9/22/2006,9/22/2006,,
01/12/1987,01/12/1987,dez,1987
06/01/2012,06/01/2012,jan,2012
6/17/2010,6/17/2010,,
8/27/2010,8/27/2010,,
12/24/2008,12/24/2008,,
6/14/2010,6/14/2010,,
11/16/2009,11/16/2009,,
03/09/2009,03/09/2009,set,2009
5/16/2011,5/16/2011,,
4/27/2011,4/27/2011,,
3/24/2011,3/24/2011,,
3/19/2012,3/19/2012,,
11/10/2010,11/10/2010,out,2010
3/21/2012,3/21/2012,,
6/20/2012,6/20/2012,,
11/28/2006,11/28/2006,,
6/20/1997,6/20/1997,,
09/03/2010,09/03/2010,mar,2010
3/23/1984,3/23/1984,,
8/20/2001,8/20/2001,,
11/27/1991,11/27/1991,,
02/06/2008,02/06/2008,jun,2008
8/15/2001,8/15/2001,,
12/02/1986,12/02/1986,fev,1986
09/01/1994,09/01/1994,jan,1994
9/13/2007,9/13/2007,,
05/02/1996,05/02/1996,fev,1996
5/25/2006,5/25/2006,,
7/25/1996,7/25/1996,,
4/26/1974,4/26/1974,,
07/06/1983,07/06/1983,jun,1983
8/25/2000,8/25/2000,,
07/06/2000,07/06/2000,jun,2000
3/17/2007,3/17/2007,,
4/15/2002,4/15/2002,,
1/29/2008,1/29/2008,,
10/09/1996,10/09/1996,set,1996
6/22/2004,6/22/2004,,
11/01/2010,11/01/2010,jan,2010
5/15/2009,5/15/2009,,
2/18/2002,2/18/2002,,
10/20/2010,10/20/2010,,
4/28/1999,4/28/1999,,
04/11/2011,04/11/2011,nov,2011
4/27/2012,4/27/2012,,
7/14/1988,7/14/1988,,
6/24/2012,6/24/2012,,
6/17/2010,6/17/2010,,
08/08/2003,08/08/2003,ago,2003
07/07/1983,07/07/1983,jul,1983
3/30/2012,3/30/2012,,
11/09/2011,11/09/2011,set,2011
8/15/2012,8/15/2012,,
12/23/2011,12/23/2011,,
3/28/2012,3/28/2012,,
3/20/1992,3/20/1992,,
12/17/1999,12/17/1999,,
9/15/2011,9/15/2011,,
09/06/2011,09/06/2011,jun,2011
5/21/1993,5/21/1993,,
04/06/1988,04/06/1988,jun,1988
8/19/1986,8/19/1986,,
12/16/1987,12/16/1987,,
11/24/1987,11/24/1987,,
7/28/1987,7/28/1987,,
07/11/1969,07/11/1969,nov,1969
06/02/2004,06/02/2004,fev,2004
12/23/1970,12/23/1970,,
07/06/1987,07/06/1987,jun,1987
8/16/1982,8/16/1982,,
08/03/1987,08/03/1987,mar,1987
4/16/1984,4/16/1984,,
09/05/2002,09/05/2002,mai,2002
05/04/1981,05/04/1981,abr,1981
12/21/1987,12/21/1987,,
05/04/1990,05/04/1990,abr,1990
5/18/1983,5/18/1983,,
8/24/1993,8/24/1993,,
4/29/1992,4/29/1992,,
9/28/1993,9/28/1993,,
12/03/1985,12/03/1985,mar,1985
06/02/1976,06/02/1976,fev,1976
7/26/1993,7/26/1993,,
1/26/1981,1/26/1981,,
07/10/1991,07/10/1991,out,1991
9/25/1991,9/25/1991,,
7/29/1975,7/29/1975,,
10/15/2007,10/15/2007,,
4/26/1991,4/26/1991,,
12/10/1974,12/10/1974,out,1974
11/04/1992,11/04/1992,abr,1992
7/19/1978,7/19/1978,,
04/01/1993,04/01/1993,jan,1993
7/23/2004,7/23/2004,,
5/23/2008,5/23/2008,,
9/20/2002,9/20/2002,,
11/26/1982,11/26/1982,,
01/04/1999,01/04/1999,abr,1999
03/05/2012,03/05/2012,mai,2012
3/13/2000,3/13/2000,,
8/19/2011,8/19/2011,,
12/15/1983,12/15/1983,,
6/25/2009,6/25/2009,,
10/15/2012,10/15/2012,,
10/15/2012,10/15/2012,,
12/11/2006,12/11/2006,nov,2006
08/03/2011,08/03/2011,mar,2011
06/08/2011,06/08/2011,ago,2011
7/17/2009,7/17/2009,,
3/22/2011,3/22/2011,,
03/10/2010,03/10/2010,out,2010
8/30/1996,8/30/1996,,
5/14/2012,5/14/2012,,
2/18/2008,2/18/2008,,
8/24/2012,8/24/2012,,
8/24/2006,8/24/2006,,
3/25/2009,3/25/2009,,
3/21/2005,3/21/2005,,
6/13/2006,6/13/2006,,
2/21/2007,2/21/2007,,
02/03/2010,02/03/2010,mar,2010
09/10/2007,09/10/2007,out,2007
07/12/2007,07/12/2007,dez,2007
9/16/2008,9/16/2008,,
8/15/2011,8/15/2011,,
06/03/2004,06/03/2004,mar,2004
07/05/2012,07/05/2012,mai,2012
07/05/2012,07/05/2012,mai,2012
03/10/1997,03/10/1997,out,1997
05/10/2000,05/10/2000,out,2000
5/21/1998,5/21/1998,,
7/21/2010,7/21/2010,,
9/25/1995,9/25/1995,,
5/15/2012,5/15/2012,,
2/28/2012,2/28/2012,,
11/04/2011,11/04/2011,abr,2011
11/16/2011,11/16/2011,,
12/08/2011,12/08/2011,ago,2011
03/05/2012,03/05/2012,mai,2012
9/21/2005,9/21/2005,,
11/19/1993,11/19/1993,,
12/07/1998,12/07/1998,jul,1998
07/01/2002,07/01/2002,jan,2002
04/02/2002,04/02/2002,fev,2002
1/18/1991,1/18/1991,,
04/06/2004,04/06/2004,jun,2004
9/22/2006,9/22/2006,,
05/11/2000,05/11/2000,nov,2000
10/03/2011,10/03/2011,mar,2011
08/02/2010,08/02/2010,fev,2010
12/02/2009,12/02/2009,fev,2009
04/08/1998,04/08/1998,ago,1998
10/19/2011,10/19/2011,,
01/12/2012,01/12/2012,dez,2012
7/16/2012,7/16/2012,,
06/04/2010,06/04/2010,abr,2010
12/10/2008,12/10/2008,out,2008
6/25/1998,6/25/1998,,
11/07/1985,11/07/1985,jul,1985
07/07/1994,07/07/1994,jul,1994
01/12/2012,01/12/2012,dez,2012
9/25/1989,9/25/1989,,
02/10/1989,02/10/1989,out,1989
08/06/1999,08/06/1999,jun,1999
09/06/1985,09/06/1985,jun,1985
06/08/2012,06/08/2012,ago,2012
7/29/2009,7/29/2009,,
6/30/1986,6/30/1986,,
11/17/2010,11/17/2010,,
12/13/2001,12/13/2001,,
3/17/2009,3/17/2009,,
12/23/2010,12/23/2010,,
8/23/2011,8/23/2011,,
7/24/2012,7/24/2012,,
10/22/2008,10/22/2008,,
11/05/2010,11/05/2010,mai,2010
09/06/2007,09/06/2007,jun,2007
8/23/2005,8/23/2005,,
12/16/1994,12/16/1994,,
04/09/2007,04/09/2007,set,2007
06/08/1998,06/08/1998,ago,1998
5/24/2012,5/24/2012,,
07/11/2011,07/11/2011,nov,2011
6/16/1998,6/16/1998,,
9/30/2011,9/30/2011,,
1/27/2012,1/27/2012,,
1/24/1991,1/24/1991,,
09/01/2005,09/01/2005,jan,2005
06/10/1998,06/10/1998,out,1998
05/08/2009,05/08/2009,ago,2009
12/13/1973,12/13/1973,,
10/14/1999,10/14/1999,,
3/30/1998,3/30/1998,,
5/22/1995,5/22/1995,,
6/16/2003,6/16/2003,,
11/26/2010,11/26/2010,,
10/17/1985,10/17/1985,,
05/01/1991,05/01/1991,jan,1991
2/25/2011,2/25/2011,,
11/27/2003,11/27/2003,,
04/07/2012,04/07/2012,jul,2012
6/23/1995,6/23/1995,,
7/20/2012,7/20/2012,,
9/28/2012,9/28/2012,,
04/11/2012,04/11/2012,nov,2012
04/08/2004,04/08/2004,ago,2004
9/22/2004,9/22/2004,,
2/23/2011,2/23/2011,,
05/04/2010,05/04/2010,abr,2010
01/12/1994,01/12/1994,dez,1994
9/28/2009,9/28/2009,,
12/07/2004,12/07/2004,jul,2004
4/25/2000,4/25/2000,,
05/04/2005,05/04/2005,abr,2005
2/24/1993,2/24/1993,,
06/04/2002,06/04/2002,abr,2002
5/28/2012,5/28/2012,,
10/13/2003,10/13/2003,,
7/27/1995,7/27/1995,,
3/27/1979,3/27/1979,,
6/20/1995,6/20/1995,,
4/29/2004,4/29/2004,,
6/13/2001,6/13/2001,,
05/03/2000,05/03/2000,mar,2000
02/09/2011,02/09/2011,set,2011
06/05/2003,06/05/2003,mai,2003
10/28/2002,10/28/2002,,
02/01/2011,02/01/2011,jan,2011
7/25/2000,7/25/2000,,
10/31/2000,10/31/2000,,
11/07/2001,11/07/2001,jul,2001
11/29/2011,11/29/2011,,
4/24/1972,4/24/1972,,
04/01/1995,04/01/1995,jan,1995
2/15/1984,2/15/1984,,
5/27/2004,5/27/2004,,
2/25/2011,2/25/2011,,
10/27/2008,10/27/2008,,
3/27/2000,3/27/2000,,
05/08/2009,05/08/2009,ago,2009
10/04/2010,10/04/2010,abr,2010
6/14/2002,6/14/2002,,
5/19/2005,5/19/2005,,
12/04/2002,12/04/2002,abr,2002
03/05/2010,03/05/2010,mai,2010
11/24/1989,11/24/1989,,
4/17/1991,4/17/1991,,
7/13/2001,7/13/2001,,
3/20/2009,3/20/2009,,
2/24/1999,2/24/1999,,
2/18/1999,2/18/1999,,
5/28/1983,5/28/1983,,
09/02/1986,09/02/1986,fev,1986
8/21/1986,8/21/1986,,
12/12/1984,12/12/1984,dez,1984
11/01/2005,11/01/2005,jan,2005
1/17/2002,1/17/2002,,
8/22/1994,8/22/1994,,
07/09/2008,07/09/2008,set,2008
07/04/1988,07/04/1988,abr,1988
1/28/1980,1/28/1980,,
12/09/1992,12/09/1992,set,1992
7/23/1985,7/23/1985,,
08/01/1991,08/01/1991,jan,1991
12/10/1991,12/10/1991,out,1991
12/21/2010,12/21/2010,,
07/11/1989,07/11/1989,nov,1989
5/18/2009,5/18/2009,,
10/13/1980,10/13/1980,,
12/03/1992,12/03/1992,mar,1992
08/04/2011,08/04/2011,abr,2011
05/12/2004,05/12/2004,dez,2004
11/23/2009,11/23/2009,,
6/23/1997,6/23/1997,,
09/12/2008,09/12/2008,dez,2008
10/31/2001,10/31/2001,,
08/02/2011,08/02/2011,fev,2011
2/27/2007,2/27/2007,,
7/29/2010,7/29/2010,,
7/18/2007,7/18/2007,,
1/15/1994,1/15/1994,,
8/17/2010,8/17/2010,,
1/13/2009,1/13/2009,,
12/22/2010,12/22/2010,,
7/30/2008,7/30/2008,,
11/09/2010,11/09/2010,set,2010
01/10/2011,01/10/2011,out,2011
6/30/2010,6/30/2010,,
05/05/2011,05/05/2011,mai,2011
8/26/2009,8/26/2009,,
12/15/2010,12/15/2010,,
6/13/2012,6/13/2012,,
4/25/2012,4/25/2012,,
6/19/2012,6/19/2012,,
10/11/2011,10/11/2011,nov,2011
07/01/2006,07/01/2006,jan,2006
4/18/2008,4/18/2008,,
3/25/2012,3/25/2012,,
6/27/2003,6/27/2003,,
02/07/2011,02/07/2011,jul,2011
02/06/1986,02/06/1986,jun,1986
08/03/2010,08/03/2010,mar,2010
3/17/2009,3/17/2009,,
11/09/1998,11/09/1998,set,1998
10/17/1991,10/17/1991,,
8/22/1966,8/22/1966,,
6/18/2012,6/18/2012,,
10/18/2005,10/18/2005,,
8/25/2010,8/25/2010,,
05/01/2010,05/01/2010,jan,2010
11/20/2000,11/20/2000,,
11/06/2006,11/06/2006,jun,2006
10/19/2010,10/19/2010,,
8/17/2011,8/17/2011,,
3/15/2012,3/15/2012,,
12/03/2010,12/03/2010,mar,2010
8/14/2009,8/14/2009,,
03/03/1997,03/03/1997,mar,1997
10/31/2011,10/31/2011,,
6/22/2012,6/22/2012,,
7/26/2004,7/26/2004,,
7/29/2010,7/29/2010,,
05/09/1991,05/09/1991,set,1991
2/20/2011,2/20/2011,,
04/10/2012,04/10/2012,out,2012
11/07/2011,11/07/2011,jul,2011
12/22/2011,12/22/2011,,
9/13/2011,9/13/2011,,
6/25/2012,6/25/2012,,
1/30/2012,1/30/2012,,
2/14/2012,2/14/2012,,
8/21/2012,8/21/2012,,
06/11/2002,06/11/2002,nov,2002
06/03/1987,06/03/1987,mar,1987
9/22/1994,9/22/1994,,
09/05/1978,09/05/1978,mai,1978
9/27/1990,9/27/1990,,
06/02/1981,06/02/1981,fev,1981
2/27/2009,2/27/2009,,
7/29/1985,7/29/1985,,
11/18/1992,11/18/1992,,
6/15/2005,6/15/2005,,
6/13/1996,6/13/1996,,
6/28/2006,6/28/2006,,
05/08/1978,05/08/1978,ago,1978
12/21/1987,12/21/1987,,
10/05/1979,10/05/1979,mai,1979
3/15/1999,3/15/1999,,
7/19/2011,7/19/2011,,
07/01/1997,07/01/1997,jan,1997
3/22/1996,3/22/1996,,
9/27/2011,9/27/2011,,
3/18/2004,3/18/2004,,
4/19/2012,4/19/2012,,
05/03/2005,05/03/2005,mar,2005
09/12/2012,09/12/2012,dez,2012
9/17/2009,9/17/2009,,
7/21/2011,7/21/2011,,
2/28/2011,2/28/2011,,
6/17/2009,6/17/2009,,
8/25/2010,8/25/2010,,
07/05/2010,07/05/2010,mai,2010
04/07/1993,04/07/1993,jul,1993
3/13/2012,3/13/2012,,
10/17/2007,10/17/2007,,
1/25/1978,1/25/1978,,
08/07/1987,08/07/1987,jul,1987
